g u-g g-r r-i i-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
17.436 2.753 1.295 0.874 0.5 17.634 -2.73 29.24 -13.64 -26.05 -9.1 0.00547 10.31 5 7.15 3661.0 4.86 4 2.5824 0.361 9.131 0.341 0.065 -0.04 239.223709 -48.131416 61.43758 -37.061279 0.1829 -8.0625 -0.1049 -0.1212 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.706 1.05 0.408 0.099 0.01 18.868 35.123 54.1 -52.77 -26.65 -27.3 0.00521 15.04 6 9.2 6012.0 8.3 6 6.1492 0.867 14.94 0.008 -0.301 0.006 239.145874 -48.009937 61.588772 -37.007473 0.192 -8.0659 -0.1103 -0.1277 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.646 2.989 1.361 1.239 0.714 85.05 28.91 45.3 -66.1 -59.86 19.2 0.00515 13.33 5 7.35 3268.0 5.21 8 10.1088 0.313 11.016 0.175 0.139 0.081 240.136292 -48.255207 61.286987 -37.670433 0.1941 -8.0644 -0.1121 -0.1298 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.803 1.136 0.646 0.282 0.141 12.983 -50.847 11.67 30.59 -34.57 -0.49 0.00551 15.11 6 9.0 4874.0 8.09 8 9.866 0.647 14.931 0.013 -0.196 0.125 239.314392 -47.874615 61.760567 -37.118191 0.1815 -8.0621 -0.1047 -0.1196 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.988 3.224 1.465 1.402 0.799 -24.292 -68.567 14.96 63.59 -26.73 -25.29 0.00468 14.4 5 7.5 3009.0 5.1 7 8.6353 0.06 11.76 0.138 -0.258 0.023 240.399963 -48.307808 61.219997 -37.845795 0.2138 -8.0703 -0.1237 -0.1447 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
21.838 3.068 1.412 1.427 0.827 -3.524 19.289 37.97 -26.69 -10.76 -29.62 0.00488 14.38 5 7.45 3112.0 5.11 4 2.5455 0.112 11.61 0.147 0.03 0.063 239.402252 -48.289871 61.240543 -37.182037 0.2049 -8.0694 -0.1173 -0.138 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.33 2.974 1.373 1.247 0.718 -14.276 -21.822 11.79 21.18 -8.52 -18.55 0.00458 12.75 5 7.4 3311.0 4.96 3 1.4271 0.232 10.499 0.224 -0.154 -0.018 240.160431 -48.51516 60.958511 -37.685986 0.2183 -8.072 -0.1255 -0.1486 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.113 2.97 1.365 1.255 0.724 0.497 -29.727 14.36 21.77 -23.94 -9.29 0.00463 12.57 5 7.4 3176.0 4.84 5 3.9826 0.255 10.499 0.224 0.018 -0.027 239.958725 -47.974892 61.640408 -37.551029 0.216 -8.0724 -0.1252 -0.1455 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
20.055 3.002 1.367 1.214 0.699 27.152 8.222 40.57 -29.36 -32.73 -9.78 0.00475 12.56 5 7.35 3238.0 5.13 5 4.1829 0.097 10.376 0.233 -0.121 0.009 239.313141 -48.27356 61.260269 -37.122578 0.2104 -8.0715 -0.1204 -0.142 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
19.874 3.024 1.353 1.209 0.697 -47.564 -6.049 17.45 17.5 16.7 -47.59 0.00464 12.34 5 7.35 3373.0 4.96 7 8.5974 0.276 10.314 0.238 0.355 0.013 240.151611 -47.822563 61.833649 -37.679451 0.2157 -8.0721 -0.1256 -0.1449 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.0 0.0 0.0 0.0 0.0
